file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
vc-lcevc-01_120frames_LCEVC_VVC_SW2-1750_QP37_2025-07-24_16-57-00.lvc,1750,37,1619589,72412,1547177,95.5290%,38.16,6478.36
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2250_QP37_2025-07-24_16-59-47.lvc,2250,37,527112,72412,454700,86.2625%,35.87,2108.45
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2750_QP37_2025-07-24_17-02-34.lvc,2750,37,178187,72412,105775,59.3618%,34.35,712.75
vc-lcevc-01_120frames_LCEVC_VVC_SW2-1750_QP35_2025-07-24_17-04-47.lvc,1750,35,1427956,94227,1333729,93.4013%,38.40,5711.82
vc-lcevc-01_120frames_LCEVC_VVC_SW2-3250_QP37_2025-07-24_17-05-20.lvc,3250,37,98795,72412,26383,26.7048%,33.79,395.18
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2250_QP35_2025-07-24_17-07-32.lvc,2250,35,466198,94227,371971,79.7882%,36.22,1864.79
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2750_QP35_2025-07-24_17-10-18.lvc,2750,35,182858,94227,88631,48.4699%,35.03,731.43
vc-lcevc-01_120frames_LCEVC_VVC_SW2-3250_QP35_2025-07-24_17-13-03.lvc,3250,35,117400,94227,23173,19.7385%,34.51,469.60
vc-lcevc-01_120frames_LCEVC_VVC_SW2-1750_QP32_2025-07-24_17-18-43.lvc,1750,32,1219878,141813,1078065,88.3748%,38.80,4879.51
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2250_QP32_2025-07-24_17-21-29.lvc,2250,32,427811,141813,285998,66.8515%,36.93,1711.24
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2750_QP32_2025-07-24_17-24-15.lvc,2750,32,220904,141813,79091,35.8033%,36.06,883.62
vc-lcevc-01_120frames_LCEVC_VVC_SW2-3250_QP32_2025-07-24_17-27-00.lvc,3250,32,163729,141813,21916,13.3855%,35.48,654.92
vc-lcevc-01_120frames_LCEVC_VVC_SW2-1750_QP30_2025-07-24_17-32-07.lvc,1750,30,1127632,187248,940384,83.3946%,39.11,4510.53
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2250_QP30_2025-07-24_17-34-53.lvc,2250,30,433078,187248,245830,56.7634%,37.49,1732.31
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2750_QP30_2025-07-24_17-37-39.lvc,2750,30,265557,187248,78309,29.4886%,36.69,1062.23
vc-lcevc-01_120frames_LCEVC_VVC_SW2-3250_QP30_2025-07-24_17-40-25.lvc,3250,30,211129,187248,23881,11.3111%,36.04,844.52
vc-lcevc-01_120frames_VVC-Only_QP37.bin,265,37,332529,0,0,0%,38.66,1330.12
vc-lcevc-01_120frames_LCEVC_VVC_SW2-1750_QP27_2025-07-24_17-55-18.lvc,1750,27,1025088,282017,743071,72.4885%,39.63,4100.35
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2250_QP27_2025-07-24_17-58-02.lvc,2250,27,495285,282017,213268,43.0597%,38.34,1981.14
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2750_QP27_2025-07-24_18-00-47.lvc,2750,27,354912,282017,72895,20.5389%,37.48,1419.65
vc-lcevc-01_120frames_LCEVC_VVC_SW2-3250_QP27_2025-07-24_18-03-30.lvc,3250,27,304807,282017,22790,7.4769%,36.74,1219.23
vc-lcevc-01_120frames_VVC-Only_QP35.bin,265,35,425167,0,0,0%,39.59,1700.67
vc-lcevc-01_120frames_LCEVC_VVC_SW2-1750_QP25_2025-07-24_18-21-59.lvc,1750,25,1028377,369580,658797,64.0618%,40.05,4113.51
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2250_QP25_2025-07-24_18-25-24.lvc,2250,25,573766,369580,204186,35.5870%,38.85,2295.06
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2750_QP25_2025-07-24_18-28-50.lvc,2750,25,446342,369580,76762,17.1980%,37.93,1785.37
vc-lcevc-01_120frames_LCEVC_VVC_SW2-3250_QP25_2025-07-24_18-32-17.lvc,3250,25,393286,369580,23706,6.0277%,37.11,1573.14
vc-lcevc-01_120frames_VVC-Only_QP32.bin,265,32,606199,0,0,0%,40.81,2424.80
vc-lcevc-01_120frames_LCEVC_VVC_SW2-1750_QP22_2025-07-24_18-58-08.lvc,1750,22,1111766,521670,590096,53.0774%,40.55,4447.06
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2250_QP22_2025-07-24_19-01-32.lvc,2250,22,715931,521670,194261,27.1340%,39.40,2863.72
vc-lcevc-01_120frames_LCEVC_VVC_SW2-2750_QP22_2025-07-24_19-04-56.lvc,2750,22,593457,521670,71787,12.0964%,38.39,2373.83
vc-lcevc-01_120frames_LCEVC_VVC_SW2-3250_QP22_2025-07-24_19-08-20.lvc,3250,22,543977,521670,22307,4.1007%,37.49,2175.91
vc-lcevc-01_120frames_VVC-Only_QP30.bin,265,30,766112,0,0,0%,41.53,3064.45
vc-lcevc-01_120frames_VVC-Only_QP27.bin,265,27,1083279,0,0,0%,42.49,4333.12
vc-lcevc-01_120frames_VVC-Only_QP25.bin,265,25,1425040,0,0,0%,43.14,5700.16
vc-lcevc-01_120frames_VVC-Only_QP22.bin,265,22,2252948,0,0,0%,44.13,9011.79
