file,sw2,qp,lvc_size,base_size,enhance_size,enhancement_ratio,psnr_avg,bitrate_kbps
Bosphorus-Resample,0,0,1866240000,0,0,0%,46.12,0
Bosphorus_LCEVC_VVC_SW2-250_QP27_2025-07-21_00-09-04.lvc,250,27,21298652,938869,20359783,95.5919%,41.98,17038.92
Bosphorus_LCEVC_VVC_SW2-250_QP30_2025-07-21_00-09-06.lvc,250,30,22997056,575511,22421545,97.4975%,41.10,18397.64
Bosphorus_LCEVC_VVC_SW2-250_QP32_2025-07-21_00-09-08.lvc,250,32,24196035,407325,23788710,98.3166%,40.39,19356.83
Bosphorus_LCEVC_VVC_SW2-750_QP32_2025-07-21_00-12-56.lvc,750,32,18182468,407325,17775143,97.7598%,40.23,14545.97
Bosphorus_LCEVC_VVC_SW2-750_QP35_2025-07-21_00-12-58.lvc,750,35,19728602,252566,19476036,98.7198%,39.36,15782.88
Bosphorus_LCEVC_VVC_SW2-750_QP30_2025-07-21_00-12-54.lvc,750,30,17112384,575511,16536873,96.6369%,40.92,13689.91
Bosphorus_LCEVC_VVC_SW2-750_QP37_2025-07-21_00-12-58.lvc,750,37,20792415,181765,20610650,99.1258%,38.76,16633.93
Bosphorus_LCEVC_VVC_SW2-750_QP27_2025-07-21_00-12-54.lvc,750,27,15645231,938869,14706362,93.9990%,41.77,12516.18
Bosphorus_LCEVC_VVC_SW2-750_QP25_2025-07-21_00-13-56.lvc,750,25,20687420,1337131,19350289,93.5365%,42.71,16549.94
Bosphorus_LCEVC_VVC_SW2-1250_QP32_2025-07-21_00-16-41.lvc,1250,32,8181376,407325,7774051,95.0213%,39.65,6545.10
Bosphorus_LCEVC_VVC_SW2-1250_QP35_2025-07-21_00-16-44.lvc,1250,35,9248922,252566,8996356,97.2692%,38.87,7399.14
Bosphorus_LCEVC_VVC_SW2-1250_QP30_2025-07-21_00-16-44.lvc,1250,30,7484564,575511,6909053,92.3107%,40.28,5987.65
Bosphorus_LCEVC_VVC_SW2-1250_QP37_2025-07-21_00-16-46.lvc,1250,37,9997772,181765,9816007,98.1819%,38.31,7998.22
Bosphorus_LCEVC_VVC_SW2-1250_QP27_2025-07-21_00-16-47.lvc,1250,27,6579708,938869,5640839,85.7308%,41.03,5263.77
Bosphorus_LCEVC_VVC_SW2-1250_QP25_2025-07-21_00-18-48.lvc,1250,25,7424277,1337131,6087146,81.9897%,41.72,5939.42
Bosphorus_LCEVC_VVC_SW2-1750_QP32_2025-07-21_00-20-29.lvc,1750,32,3145780,407325,2738455,87.0517%,38.67,2516.62
Bosphorus_LCEVC_VVC_SW2-1750_QP35_2025-07-21_00-20-30.lvc,1750,35,3834985,252566,3582419,93.4142%,38.00,3067.99
Bosphorus_LCEVC_VVC_SW2-1750_QP30_2025-07-21_00-20-31.lvc,1750,30,2755089,575511,2179578,79.1110%,39.22,2204.07
Bosphorus_LCEVC_VVC_SW2-1750_QP37_2025-07-21_00-20-32.lvc,1750,37,4357896,181765,4176131,95.8291%,37.49,3486.32
Bosphorus_LCEVC_VVC_SW2-1750_QP27_2025-07-21_00-20-35.lvc,1750,27,2394280,938869,1455411,60.7870%,39.94,1915.42
Bosphorus_LCEVC_VVC_SW2-2250_QP32_2025-07-21_00-24-11.lvc,2250,32,989988,407325,582663,58.8556%,37.48,791.99
Bosphorus_LCEVC_VVC_SW2-2250_QP35_2025-07-21_00-24-15.lvc,2250,35,1202126,252566,949560,78.9901%,36.77,961.70
Bosphorus_LCEVC_VVC_SW2-2250_QP37_2025-07-21_00-24-16.lvc,2250,37,1446903,181765,1265138,87.4377%,36.29,1157.52
Bosphorus_LCEVC_VVC_SW2-2250_QP27_2025-07-21_00-24-21.lvc,2250,27,1132188,938869,193319,17.0748%,38.99,905.75
Bosphorus_LCEVC_VVC_SW2-1750_QP25_2025-07-21_00-23-39.lvc,1750,25,2569833,1337131,1232702,47.9682%,40.55,2055.87
Bosphorus_LCEVC_VVC_SW2-2250_QP30_2025-07-21_00-24-16.lvc,2250,30,954971,575511,379460,39.7352%,38.12,763.98
Bosphorus_LCEVC_VVC_SW2-2750_QP35_2025-07-21_00-27-58.lvc,2750,35,418575,252566,166009,39.6605%,35.77,334.86
Bosphorus_LCEVC_VVC_SW2-2750_QP32_2025-07-21_00-27-55.lvc,2750,32,486244,407325,78919,16.2303%,36.65,389.00
Bosphorus_LCEVC_VVC_SW2-2750_QP37_2025-07-21_00-27-59.lvc,2750,37,441879,181765,260114,58.8654%,35.21,353.50
Bosphorus_LCEVC_VVC_SW2-2750_QP27_2025-07-21_00-28-35.lvc,2750,27,965637,938869,26768,2.7721%,38.57,772.51
Bosphorus_LCEVC_VVC_SW2-2750_QP30_2025-07-21_00-28-53.lvc,2750,30,621725,575511,46214,7.4332%,37.51,497.38
Bosphorus_LCEVC_VVC_SW2-2250_QP25_2025-07-21_00-28-27.lvc,2250,25,1487470,1337131,150339,10.1070%,39.80,1189.98
Bosphorus_LCEVC_VVC_SW2-3250_QP35_2025-07-21_00-31-39.lvc,3250,35,289425,252566,36859,12.7353%,35.33,231.54
Bosphorus_LCEVC_VVC_SW2-3250_QP32_2025-07-21_00-31-39.lvc,3250,32,431779,407325,24454,5.6635%,36.37,345.42
Bosphorus_LCEVC_VVC_SW2-3250_QP37_2025-07-21_00-31-41.lvc,3250,37,236428,181765,54663,23.1204%,34.64,189.14
Bosphorus_LCEVC_VVC_SW2-3250_QP27_2025-07-21_00-32-22.lvc,3250,27,955429,938869,16560,1.7333%,38.51,764.34
Bosphorus_LCEVC_VVC_SW2-3250_QP30_2025-07-21_00-32-36.lvc,3250,30,594855,575511,19344,3.2519%,37.35,475.88
Bosphorus_LCEVC_VVC_SW2-2750_QP25_2025-07-21_00-33-15.lvc,2750,25,1373014,1337131,35883,2.6134%,39.61,1098.41
Bosphorus_LCEVC_VVC_SW2-3250_QP25_2025-07-21_00-38-00.lvc,3250,25,1367475,1337131,30344,2.2190%,39.60,1093.98
Bosphorus_VVC-Only_QP37.bin,265,37,580476,0,0,0%,36.72,464.38
Bosphorus_VVC-Only_QP35.bin,265,35,793851,0,0,0%,37.54,635.08
Bosphorus_LCEVC_VVC_SW2-750_QP22_2025-07-21_07-32-29.lvc,750,22,18971812,2231327,16740485,88.2387%,43.51,15177.45
Bosphorus_LCEVC_VVC_SW2-1250_QP22_2025-07-21_07-37-20.lvc,1250,22,6852282,2231327,4620955,67.4367%,42.46,5481.83
Bosphorus_LCEVC_VVC_SW2-1750_QP22_2025-07-21_07-42-05.lvc,1750,22,3006134,2231327,774807,25.7742%,41.43,2404.91
Bosphorus_LCEVC_VVC_SW2-2250_QP22_2025-07-21_07-46-49.lvc,2250,22,2323972,2231327,92645,3.9865%,41.03,1859.18
Bosphorus_LCEVC_VVC_SW2-2750_QP22_2025-07-21_07-51-32.lvc,2750,22,2264797,2231327,33470,1.4778%,40.98,1811.84
Bosphorus_LCEVC_VVC_SW2-3250_QP22_2025-07-21_07-56-16.lvc,3250,22,2261661,2231327,30334,1.3412%,40.98,1809.33
Bosphorus_VVC-Only_QP32.bin,265,32,1239951,0,0,0%,38.93,991.96
Bosphorus_VVC-Only_QP30.bin,265,30,1714361,0,0,0%,39.95,1371.49
Bosphorus_VVC-Only_QP27.bin,265,27,2738770,0,0,0%,41.34,2191.02
